,<built-in function id>,areageo,identi,imageLink,title,year
723,http://cartotecadigital.icc.cat/cdm/ref/collection/fsace/id/742,Barcelona (Barcelonès),RFSACE.2959,http://cartotecadigital.icc.cat/utils/ajaxhelper/?CISOROOT=fsace&CISOPTR=742&action=2&DMSCALE=39&DMWIDTH=1506&DMHEIGHT=1506,Plaça  Catalunya,1963-05-12
724,http://cartotecadigital.icc.cat/cdm/ref/collection/fsace/id/743,Barcelona (Barcelonès),RFSACE.119,http://cartotecadigital.icc.cat/utils/ajaxhelper/?CISOROOT=fsace&CISOPTR=743&action=2&DMSCALE=39&DMWIDTH=1498&DMHEIGHT=1513,Hispano Olivetti,1960-1985
725,http://cartotecadigital.icc.cat/cdm/ref/collection/fsace/id/744,Lloret de Mar (Selva),RFSACE.5284,http://cartotecadigital.icc.cat/utils/ajaxhelper/?CISOROOT=fsace&CISOPTR=744&action=2&DMSCALE=39&DMWIDTH=1498&DMHEIGHT=1513,Urbanització  Montgoda,1964-08-29
726,http://cartotecadigital.icc.cat/cdm/ref/collection/fsace/id/745,Sant Feliu de Llobregat (Baix Llobregat),RFSACE.2079,http://cartotecadigital.icc.cat/utils/ajaxhelper/?CISOROOT=fsace&CISOPTR=745&action=2&DMSCALE=39&DMWIDTH=1506&DMHEIGHT=1506,Cintas Artisa,1962-11-15
727,http://cartotecadigital.icc.cat/cdm/ref/collection/fsace/id/746,Castellet i la Gornal (Alt Penedès),RFSACE.4701,http://cartotecadigital.icc.cat/utils/ajaxhelper/?CISOROOT=fsace&CISOPTR=746&action=2&DMSCALE=39&DMWIDTH=1491&DMHEIGHT=1513,Vertical Pantans Foix E-1/4707,1964-04-26
728,http://cartotecadigital.icc.cat/cdm/ref/collection/fsace/id/747,Montornès del Vallès (Vallès Oriental),RFSACE.4599,http://cartotecadigital.icc.cat/utils/ajaxhelper/?CISOROOT=fsace&CISOPTR=747&action=2&DMSCALE=39&DMWIDTH=1506&DMHEIGHT=1506,Armco - Seel,1964-03-31
729,http://cartotecadigital.icc.cat/cdm/ref/collection/fsace/id/748,Sant Joan Despí (Baix Llobregat),RFSACE.806,http://cartotecadigital.icc.cat/utils/ajaxhelper/?CISOROOT=fsace&CISOPTR=748&action=2&DMSCALE=39&DMWIDTH=1506&DMHEIGHT=1506,Cintas Artisa,1962-05-23
730,http://cartotecadigital.icc.cat/cdm/ref/collection/fsace/id/749,Terrassa (Vallès Occidental),RFSACE.5648,http://cartotecadigital.icc.cat/utils/ajaxhelper/?CISOROOT=fsace&CISOPTR=749&action=2&DMSCALE=40&DMWIDTH=1446&DMHEIGHT=1469,"Carrocerías """"800""""",1964-10-30
731,http://cartotecadigital.icc.cat/cdm/ref/collection/fsace/id/750,Cardedeu (Vallès Oriental),RFSACE.6262,http://cartotecadigital.icc.cat/utils/ajaxhelper/?CISOROOT=fsace&CISOPTR=750&action=2&DMSCALE=39&DMWIDTH=1506&DMHEIGHT=1513,Fotoplà Urb. Can Vila,1965-03-26
732,http://cartotecadigital.icc.cat/cdm/ref/collection/fsace/id/751,Tamariu (Baix Empordà),RFSACE.1431,http://cartotecadigital.icc.cat/utils/ajaxhelper/?CISOROOT=fsace&CISOPTR=751&action=2&DMSCALE=39&DMWIDTH=1506&DMHEIGHT=1506,Tamariu: Urbanització Luis Alberich,1962-07-22
733,http://cartotecadigital.icc.cat/cdm/ref/collection/fsace/id/752,Mollet del Vallès (Vallès Oriental),RFSACE.7038,http://cartotecadigital.icc.cat/utils/ajaxhelper/?CISOROOT=fsace&CISOPTR=752&action=2&DMSCALE=39&DMWIDTH=1498&DMHEIGHT=1513,Constructora industrial,1965-09-07
734,http://cartotecadigital.icc.cat/cdm/ref/collection/fsace/id/753,Deltebre (Baix Ebre),RFSACE.2633,http://cartotecadigital.icc.cat/utils/ajaxhelper/?CISOROOT=fsace&CISOPTR=753&action=2&DMSCALE=39&DMWIDTH=1506&DMHEIGHT=1506,Desembocadura de l'Ebre: fotoplànol CUSESA,1963-04-15
735,http://cartotecadigital.icc.cat/cdm/ref/collection/fsace/id/754,el Masnou (Maresme),RFSACE.7796,http://cartotecadigital.icc.cat/utils/ajaxhelper/?CISOROOT=fsace&CISOPTR=754&action=2&DMSCALE=39&DMWIDTH=1498&DMHEIGHT=1513,Panoràmica,1966-02-17
736,http://cartotecadigital.icc.cat/cdm/ref/collection/fsace/id/755,Balaguer (Noguera),RFSACE.5431,http://cartotecadigital.icc.cat/utils/ajaxhelper/?CISOROOT=fsace&CISOPTR=755&action=2&DMSCALE=39&DMWIDTH=1498&DMHEIGHT=1513,Fàbrica de paper INPACSA,1964-09-17
737,http://cartotecadigital.icc.cat/cdm/ref/collection/fsace/id/756,Montornès del Vallès (Vallès Oriental),RFSACE.5847,http://cartotecadigital.icc.cat/utils/ajaxhelper/?CISOROOT=fsace&CISOPTR=756&action=2&DMSCALE=39&DMWIDTH=1498&DMHEIGHT=1513,Fotoplà Riera Marsa,1964-11-15
738,http://cartotecadigital.icc.cat/cdm/ref/collection/fsace/id/757,Tamariu (Baix Empordà),RFSACE.1423,http://cartotecadigital.icc.cat/utils/ajaxhelper/?CISOROOT=fsace&CISOPTR=757&action=2&DMSCALE=39&DMWIDTH=1506&DMHEIGHT=1506,Tamariu: Apartaments Solins,1962-07-22
739,http://cartotecadigital.icc.cat/cdm/ref/collection/fsace/id/758,Pineda de Mar (Maresme),RFSACE.7136,http://cartotecadigital.icc.cat/utils/ajaxhelper/?CISOROOT=fsace&CISOPTR=758&action=2&DMSCALE=39&DMWIDTH=1498&DMHEIGHT=1513,[sense anotacions],1965-10-01
740,http://cartotecadigital.icc.cat/cdm/ref/collection/fsace/id/759,Badalona (Barcelonès),RFSACE.1127,http://cartotecadigital.icc.cat/utils/ajaxhelper/?CISOROOT=fsace&CISOPTR=759&action=2&DMSCALE=39&DMWIDTH=1506&DMHEIGHT=1506,PIHER,1962-07-15
741,http://cartotecadigital.icc.cat/cdm/ref/collection/fsace/id/760,Montcada i Reixac (Vallès Occidental),RFSACE.5180,http://cartotecadigital.icc.cat/utils/ajaxhelper/?CISOROOT=fsace&CISOPTR=760&action=2&DMSCALE=39&DMWIDTH=1498&DMHEIGHT=1513,Cementos Asland,1964-08-26
742,http://cartotecadigital.icc.cat/cdm/ref/collection/fsace/id/761,Martorell (Baix Llobregat),RFSACE.6192,http://cartotecadigital.icc.cat/utils/ajaxhelper/?CISOROOT=fsace&CISOPTR=761&action=2&DMSCALE=39&DMWIDTH=1498&DMHEIGHT=1513,Panoràmicas Glucosa y Derivados,1965-02-27
743,http://cartotecadigital.icc.cat/cdm/ref/collection/fsace/id/762,Tarragona (Tarragonès),RFSACE.7943,http://cartotecadigital.icc.cat/utils/ajaxhelper/?CISOROOT=fsace&CISOPTR=762&action=2&DMSCALE=39&DMWIDTH=1498&DMHEIGHT=1513,Cia. Fergunson Panoràmica,1966-03-09
744,http://cartotecadigital.icc.cat/cdm/ref/collection/fsace/id/763,Olvan (Berguedà),RFSACE.1756,http://cartotecadigital.icc.cat/utils/ajaxhelper/?CISOROOT=fsace&CISOPTR=763&action=2&DMSCALE=39&DMWIDTH=1506&DMHEIGHT=1506,Colònia tèxtil de Cal Rosal,1962-08-01
745,http://cartotecadigital.icc.cat/cdm/ref/collection/fsace/id/764,Castelldefels (Baix Llobregat),RFSACE.194,http://cartotecadigital.icc.cat/utils/ajaxhelper/?CISOROOT=fsace&CISOPTR=764&action=2&DMSCALE=39&DMWIDTH=1506&DMHEIGHT=1506,"Castelldefels, Panoràmica",1961-01-08
746,http://cartotecadigital.icc.cat/cdm/ref/collection/fsace/id/765,Sant Celoni (Vallès Oriental),RFSACE.4370,http://cartotecadigital.icc.cat/utils/ajaxhelper/?CISOROOT=fsace&CISOPTR=765&action=2&DMSCALE=45&DMWIDTH=1292&DMHEIGHT=1328,Resisa,1964-03-01
747,http://cartotecadigital.icc.cat/cdm/ref/collection/fsace/id/766,Mataró (Maresme),RFSACE.147,http://cartotecadigital.icc.cat/utils/ajaxhelper/?CISOROOT=fsace&CISOPTR=766&action=2&DMSCALE=39&DMWIDTH=1506&DMHEIGHT=1506,Col·legi Salesians,1960-1985
748,http://cartotecadigital.icc.cat/cdm/ref/collection/fsace/id/767,Lloret de Mar (Selva),RFSACE.1364,http://cartotecadigital.icc.cat/utils/ajaxhelper/?CISOROOT=fsace&CISOPTR=767&action=2&DMSCALE=39&DMWIDTH=1506&DMHEIGHT=1506,Macià,1962-07-22
749,http://cartotecadigital.icc.cat/cdm/ref/collection/fsace/id/768,Bigues i Riells (Vallès Oriental),RFSACE.931,http://cartotecadigital.icc.cat/utils/ajaxhelper/?CISOROOT=fsace&CISOPTR=768&action=2&DMSCALE=33&DMWIDTH=1772&DMHEIGHT=1772,Riells: Manufactures del Saqueiro,1962-06-17
750,http://cartotecadigital.icc.cat/cdm/ref/collection/fsace/id/769,Terrassa (Vallès Occidental),RFSACE.3293,http://cartotecadigital.icc.cat/utils/ajaxhelper/?CISOROOT=fsace&CISOPTR=769&action=2&DMSCALE=39&DMWIDTH=1489&DMHEIGHT=1506,Fotoplà,1963-06-01
751,http://cartotecadigital.icc.cat/cdm/ref/collection/fsace/id/770,Sabadell (Vallès Occidental),RFSACE.7792,http://cartotecadigital.icc.cat/utils/ajaxhelper/?CISOROOT=fsace&CISOPTR=770&action=2&DMSCALE=39&DMWIDTH=1498&DMHEIGHT=1513,Urbanització,1966-02-17
752,http://cartotecadigital.icc.cat/cdm/ref/collection/fsace/id/771,Caldes de Montbuí (Vallès Oriental),RFSACE.5720,http://cartotecadigital.icc.cat/utils/ajaxhelper/?CISOROOT=fsace&CISOPTR=771&action=2&DMSCALE=39&DMWIDTH=1498&DMHEIGHT=1513,Fàbrica Tiana S.A.,1964-09-20
753,http://cartotecadigital.icc.cat/cdm/ref/collection/fsace/id/772,Castelldefels (Baix Llobregat),RFSACE.3703,http://cartotecadigital.icc.cat/utils/ajaxhelper/?CISOROOT=fsace&CISOPTR=772&action=2&DMSCALE=39&DMWIDTH=1483&DMHEIGHT=1506,Apart. Soli-Femar i altres,1960-02-29
754,http://cartotecadigital.icc.cat/cdm/ref/collection/fsace/id/773,Coma-ruga (Baix Penedès),RFSACE.826,http://cartotecadigital.icc.cat/utils/ajaxhelper/?CISOROOT=fsace&CISOPTR=773&action=2&DMSCALE=39&DMWIDTH=1506&DMHEIGHT=1506,Coma-ruga: Masia Blanca,1962-05-23
755,http://cartotecadigital.icc.cat/cdm/ref/collection/fsace/id/774,Barcelona (Barcelonès),RFSACE.3378,http://cartotecadigital.icc.cat/utils/ajaxhelper/?CISOROOT=fsace&CISOPTR=774&action=2&DMSCALE=39&DMWIDTH=1491&DMHEIGHT=1506,Fira de Mostres,1960-02-29
756,http://cartotecadigital.icc.cat/cdm/ref/collection/fsace/id/775,Esplugues de Llobregat (Baix Llobregat),RFSACE.478,http://cartotecadigital.icc.cat/utils/ajaxhelper/?CISOROOT=fsace&CISOPTR=775&action=2&DMSCALE=39&DMWIDTH=1506&DMHEIGHT=1506,Tres Molins,1961-06-08
757,http://cartotecadigital.icc.cat/cdm/ref/collection/fsace/id/776,Cerdanyola del Vallès (Vallès Occidental),RFSACE.7663,http://cartotecadigital.icc.cat/utils/ajaxhelper/?CISOROOT=fsace&CISOPTR=776&action=2&DMSCALE=39&DMWIDTH=1498&DMHEIGHT=1513,Panoràmica fàbrica PILMAN (grace),1965-12-30
758,http://cartotecadigital.icc.cat/cdm/ref/collection/fsace/id/777,Mollet del Vallès (Vallès Oriental),RFSACE.4594,http://cartotecadigital.icc.cat/utils/ajaxhelper/?CISOROOT=fsace&CISOPTR=777&action=2&DMSCALE=39&DMWIDTH=1506&DMHEIGHT=1506,Teneria moderna  Franco Española,1964-03-31
759,http://cartotecadigital.icc.cat/cdm/ref/collection/fsace/id/778,Sitges (Garraf),RFSACE.6086,http://cartotecadigital.icc.cat/utils/ajaxhelper/?CISOROOT=fsace&CISOPTR=778&action=2&DMSCALE=39&DMWIDTH=1498&DMHEIGHT=1513,Fotoplà,1965-02-11
