,<built-in function id>,imageLink,title,year
21,http://cartotecadigital.icc.cat/cdm/ref/collection/atles/id/1145,http://cartotecadigital.icc.cat/utils/ajaxhelper/?CISOROOT=atles&CISOPTR=1145&action=2&DMSCALE=15&DMWIDTH=3271&DMHEIGHT=2240,"[Peu] Barcelona en 1697, segons la planta que n'alçá Ferdinando Alfonso, quan fou assetjada per mar y terra y pressa per los franceses",1697
22,http://cartotecadigital.icc.cat/cdm/ref/collection/atles/id/1130,http://cartotecadigital.icc.cat/utils/ajaxhelper/?CISOROOT=atles&CISOPTR=1130&action=2&DMSCALE=11&DMWIDTH=4345&DMHEIGHT=3260,"[Peu] Barcelona y son hort y vinyet, en lo setge de 1706, segons lo plan trassat per un Enginyer foraster y mis au jour a Amsterdam per Nicolàu Wisscher",1908
23,http://cartotecadigital.icc.cat/cdm/ref/collection/atles/id/1448,http://cartotecadigital.icc.cat/utils/ajaxhelper/?CISOROOT=atles&CISOPTR=1448&action=2&DMSCALE=15&DMWIDTH=2175&DMHEIGHT=3305,[Peu] Camprodon en lo segle XVII (d'un gravat francès) / facilitat per L. Soler y March,1908
24,http://cartotecadigital.icc.cat/cdm/ref/collection/atles/id/1140,http://cartotecadigital.icc.cat/utils/ajaxhelper/?CISOROOT=atles&CISOPTR=1140&action=2&DMSCALE=15&DMWIDTH=3258&DMHEIGHT=2125,"[Peu] Combregar general a Barcelona en la primera meutat del segle XVIII / dibuix del reputat pintor barceloní Antoni Viladomat, mort en 1755",1908
25,http://cartotecadigital.icc.cat/cdm/ref/collection/atles/id/1310,http://cartotecadigital.icc.cat/utils/ajaxhelper/?CISOROOT=atles&CISOPTR=1310&action=2&DMSCALE=15&DMWIDTH=2149&DMHEIGHT=3299,"[Peu] Constantí: antich dibuix del segle XVII, fet per Beaulieu; [Peu] Constantí: Plan de la vila y castell, fet per Beaulieu en lo segle XVII",1908
26,http://cartotecadigital.icc.cat/cdm/ref/collection/atles/id/1292,http://cartotecadigital.icc.cat/utils/ajaxhelper/?CISOROOT=atles&CISOPTR=1292&action=2&DMSCALE=15&DMWIDTH=2157&DMHEIGHT=3300,"[Peu] Flix: Vista general del castell y població, fet en 1646 per l'enginyer francès Beaulieu; [Peu] Flix: Antich plan de la població, fet en 1646 per Beaulieu",1646
27,http://cartotecadigital.icc.cat/cdm/ref/collection/atles/id/1199,http://cartotecadigital.icc.cat/utils/ajaxhelper/?CISOROOT=atles&CISOPTR=1199&action=2&DMSCALE=11&DMWIDTH=3304&DMHEIGHT=4423,"[Peu] Full 1er. Mapa de Catalunya, editat a Madrid, per Tomás López (...)",1776
28,http://cartotecadigital.icc.cat/cdm/ref/collection/atles/id/1201,http://cartotecadigital.icc.cat/utils/ajaxhelper/?CISOROOT=atles&CISOPTR=1201&action=2&DMSCALE=11&DMWIDTH=3266&DMHEIGHT=4413,"[Peu] Full 2on (...) y Vargas, en 1776; facilitado per E. Moliné y Brasés",1776
29,http://cartotecadigital.icc.cat/cdm/ref/collection/atles/id/1150,http://cartotecadigital.icc.cat/utils/ajaxhelper/?CISOROOT=atles&CISOPTR=1150&action=2&DMSCALE=11&DMWIDTH=4432&DMHEIGHT=3288,[Peu] Les muralles y la porta de la Mar poch abans de desaparèxer / facilitat per En Isidro Torres,1860
30,http://cartotecadigital.icc.cat/cdm/ref/collection/atles/id/1209,http://cartotecadigital.icc.cat/utils/ajaxhelper/?CISOROOT=atles&CISOPTR=1209&action=2&DMSCALE=11&DMWIDTH=4402&DMHEIGHT=3254,[Peu] Mapa d'Aparici: full 1er,1769
